age,predicted brain age,predicted brain age_adjusted
8.910661191,10.43251711,8.470436775
9.493601643,9.363798343,7.544454026
9.493601643,8.726686116,6.907341799
9.077215606,8.311697855,6.390399237
8.993938398,9.057960198,7.11627072
9.077215606,9.522947307,7.60164869
9.493601643,8.727257487,6.90791317
9.077215606,9.839704624,7.918406007
9.160492813,8.906262528,7.00535477
9.160492813,9.925712053,8.024804296
9.243770021,10.0096446,8.129127705
9.160492813,9.925643048,8.024735291
8.993938398,9.104394364,7.162704886
9.57687885,10.34210335,8.543149894
9.90998768,10.17641756,8.459027544
9.160492813,8.394409567,6.493501809
9.243770021,9.809082539,7.928565642
9.493601643,10.25659463,8.437250314
9.743433265,9.904877455,8.146705718
9.410324435,9.401149037,7.56141386
9.077215606,9.840330471,7.919031853
9.826710472,10.59150117,8.853720291
9.077215606,9.226493588,7.305194971
9.493601643,9.088777083,7.269432766
9.077215606,9.180433188,7.25913457
9.077215606,9.842000585,7.920701968
9.826710472,10.59290133,8.855120448
9.410324435,10.57941046,8.739675285
9.993264887,10.99522834,9.298229187
9.826710472,10.65918628,8.921405403
9.160492813,8.395142128,6.49423437
8.993938398,8.771965838,6.830276361
9.493601643,8.726332746,6.906988429
9.160492813,8.479585079,6.578677322
9.243770021,10.00976295,8.129246055
9.327047228,10.09121291,8.231086872
9.160492813,8.398132644,6.497224887
9.826710472,9.060031835,7.322250958
9.243770021,14.59256989,12.71205299
8.910661191,9.676653347,7.714573009
9.493601643,10.25882949,8.439485175
9.160492813,9.265852831,7.364945074
8.993938398,9.758452911,7.816763433
9.160492813,9.565410045,7.664502287
9.077215606,9.125491513,7.204192895
9.660156057,10.30253239,8.523969791
8.993938398,9.760130743,7.818441265
9.660156057,8.895436499,7.116873901
9.077215606,9.843630526,7.922331908
9.493601643,9.036507691,7.217163374
9.327047228,9.329820506,7.469694468
9.90998768,10.67319361,8.955803597
9.327047228,10.09058628,8.230460241
9.243770021,10.00633583,8.125818928
9.493601643,9.811664679,7.992320362
9.327047228,10.09186952,8.231743478
9.410324435,9.572256282,7.732521104
9.077215606,9.846286274,7.924987656
9.077215606,10.85762093,8.936322313
9.826710472,10.97476344,9.23698256
9.57687885,10.2982366,8.499283139
9.90998768,9.67983191,7.962441893
8.993938398,9.630807829,7.689118351
9.410324435,10.1762615,8.33652632
9.743433265,9.333946441,7.575774704
9.826710472,10.20991315,8.472132269
9.90998768,9.474456716,7.757066699
9.493601643,10.25979975,8.440455436
9.743433265,9.657317214,7.899145477
9.160492813,9.927836811,8.026929053
9.493601643,10.25952591,8.440181594
9.660156057,10.42492623,8.64636363
8.910661191,9.675366972,7.713286634
8.993938398,9.759558689,7.817869211
9.993264887,9.903728169,8.206729012
9.160492813,9.925330983,8.024423225
9.57687885,8.809882355,7.010928897
8.993938398,9.759076844,7.817387366
9.57687885,10.34216097,8.54320751
9.077215606,9.842276097,7.920977479
9.743433265,8.977679334,7.219507597
9.077215606,9.844246326,7.922947708
9.077215606,8.315129351,6.393830733
9.57687885,10.34126037,8.542306909
9.327047228,10.09092947,8.230803437
9.826710472,9.061148867,7.32336799
9.493601643,10.25939297,8.440048658
9.160492813,9.304860097,7.40395234
9.660156057,9.059038521,7.280475924
8.993938398,9.71875689,7.777067413
9.57687885,8.762959231,6.964005773
9.826710472,13.03274368,11.2949628
9.90998768,9.720618441,8.003228424
9.160492813,9.927122735,8.026214977
9.243770021,10.00957255,8.129055653
9.243770021,10.00975902,8.129242123
9.743433265,11.62421814,9.866046398
8.910661191,9.675647307,7.713566969
9.826710472,10.50064332,8.762862445
9.077215606,8.314922754,6.393624137
8.993938398,9.548472034,7.606782556
9.327047228,9.156600709,7.296474672
9.57687885,9.192657213,7.393703756
9.90998768,9.143785222,7.426395205
9.493601643,9.641479557,7.822135239
9.410324435,8.646094325,6.806359147
9.493601643,10.25988438,8.440540061
9.160492813,8.395796052,6.494888295
9.90998768,9.820875573,8.103485556
9.743433265,10.50908305,8.75091131
9.993264887,9.228029081,7.531029924
9.243770021,10.00992693,8.129410033
9.493601643,8.727223017,6.9078787
9.660156057,9.449812324,7.671249726
8.993938398,9.759470458,7.81778098
9.327047228,8.563628926,6.703502888
9.243770021,10.00923831,8.128721413
8.993938398,10.37386973,8.432180255
8.910661191,9.596157971,7.634077633
9.57687885,9.54645991,7.747506453
9.660156057,10.42460897,8.646046368
9.327047228,10.09347445,8.233348413
9.57687885,15.57731139,13.77835793
9.993264887,10.22270487,8.525705716
9.743433265,8.978176991,7.220005254
9.327047228,10.06744408,8.20731804
9.57687885,10.55275335,8.753799894
9.743433265,10.51062771,8.752455972
9.57687885,8.810325743,7.011372286
8.993938398,9.530945264,7.589255786
9.243770021,10.00581058,8.125293678
9.826710472,9.221746385,7.483965507
9.90998768,9.144056813,7.426666796
9.826710472,9.064164828,7.326383951
9.993264887,10.01191891,8.314919755
9.160492813,9.925838368,8.024930611
9.160492813,9.925567721,8.024659963
